StateFIPS,CountyFIPS,Name,Total,Employed,Unemployed
13,057,"Cherokee County, GA",125883,120452,5431
13,059,"Clarke County, GA",58767,55484,3283
13,061,"Clay County, GA",884,791,93
13,063,"Clayton County, GA",130800,122049,8751
13,065,"Clinch County, GA",2769,2596,173
13,067,"Cobb County, GA",410083,390988,19095
13,069,"Coffee County, GA",18092,17024,1068
13,071,"Colquitt County, GA",21103,19979,1124
13,073,"Columbia County, GA",71036,67691,3345
13,075,"Cook County, GA",7524,7111,413
13,077,"Coweta County, GA",70403,66854,3549
13,079,"Crawford County, GA",5678,5339,339
13,081,"Crisp County, GA",9191,8629,562
13,083,"Dade County, GA",8018,7607,411
13,085,"Dawson County, GA",11330,10793,537
13,087,"Decatur County, GA",11476,10703,773
13,089,"DeKalb County, GA",382731,361823,20908
13,091,"Dodge County, GA",7018,6501,517
13,093,"Dooly County, GA",4951,4660,291
13,095,"Dougherty County, GA",38172,35525,2647
13,097,"Douglas County, GA",70232,66273,3959
13,099,"Early County, GA",4401,4095,306
13,101,"Echols County, GA",1882,1800,82
13,103,"Effingham County, GA",28415,27025,1390
13,105,"Elbert County, GA",7730,7223,507
13,107,"Emanuel County, GA",8448,7786,662
13,109,"Evans County, GA",4788,4550,238
13,111,"Fannin County, GA",10829,10242,587
13,113,"Fayette County, GA",55712,53051,2661
13,115,"Floyd County, GA",43503,40856,2647
13,117,"Forsyth County, GA",110988,106296,4692
13,119,"Franklin County, GA",9788,9269,519
13,121,"Fulton County, GA",531124,502170,28954
13,123,"Gilmer County, GA",11833,11152,681
13,125,"Glascock County, GA",1268,1191,77
13,127,"Glynn County, GA",39177,37071,2106
13,129,"Gordon County, GA",25300,23865,1435
13,131,"Grady County, GA",10250,9685,565
13,133,"Greene County, GA",6605,6200,405
13,135,"Gwinnett County, GA",467734,445147,22587
13,137,"Habersham County, GA",19302,18268,1034
13,139,"Hall County, GA",96308,91917,4391
13,141,"Hancock County, GA",2532,2317,215
13,143,"Haralson County, GA",12159,11445,714
13,145,"Harris County, GA",16066,15271,795
13,147,"Hart County, GA",11013,10414,599
13,149,"Heard County, GA",4996,4697,299
13,151,"Henry County, GA",108917,102845,6072
13,153,"Houston County, GA",67671,64005,3666
13,155,"Irwin County, GA",3219,2964,255
13,157,"Jackson County, GA",33289,31852,1437
13,159,"Jasper County, GA",6581,6262,319
13,161,"Jeff Davis County, GA",6226,5825,401
13,163,"Jefferson County, GA",6599,6106,493
13,165,"Jenkins County, GA",3163,2921,242
13,167,"Johnson County, GA",3925,3683,242
13,169,"Jones County, GA",13792,13121,671
13,171,"Lamar County, GA",7900,7375,525
13,173,"Lanier County, GA",3828,3604,224
13,175,"Laurens County, GA",19066,17781,1285
13,177,"Lee County, GA",14557,13865,692
13,179,"Liberty County, GA",25047,23562,1485
13,181,"Lincoln County, GA",3479,3271,208
13,183,"Long County, GA",7424,7018,406
13,185,"Lowndes County, GA",51312,48569,2743
