FIPS_ST,FIPS_CTY,CPOPARST,AG_ARRST,JURFLAG,COVIND,GRNDTOT,P1TOT,P1VLNT,P1PRPTY,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,OTHASLT,FRGYCNT,FRAUD,EMBEZL,STLNPRP,VANDLSM,WEAPONS,COMVICE,SEXOFF,DRUGTOT,DRGSALE,COCSALE,MJSALE,SYNSALE,OTHSALE,DRGPOSS,COCPOSS,MJPOSS,SYNPOSS,OTHPOSS,GAMBLE,BOOKMKG,NUMBERS,OTGAMBL,OFAGFAM,DUI,LIQUOR,DRUNK,DISORDR,VAGRANT,ALLOTHR,SUSPICN,CURFEW,RUNAWAY
01,103,119367,7,Multiple counties,99.5405,7375,992,173,819,11,16,23,123,107,688,24,0,695,78,210,6,34,37,9,0,43,277,121,70,10,13,28,156,12,22,111,11,0,0,0,0,57,301,221,458,111,7,3838,0,0,0
01,105,9461,3,One cnty,46.7384,162,23,9,14,0,0,0,9,3,4,1,6,38,0,20,0,9,2,3,0,0,9,0,0,0,0,0,9,0,5,0,4,0,0,0,0,16,2,1,2,4,0,33,0,0,0
01,107,21057,6,One cnty,78.5151,461,49,26,24,3,1,2,20,12,10,1,0,57,1,9,3,2,5,6,0,1,76,53,2,17,0,34,23,5,7,2,9,0,0,0,0,8,54,31,28,9,0,119,0,0,0
01,109,32987,4,One cnty,98.5055,1770,260,79,181,2,1,19,57,30,141,7,3,293,6,24,0,19,17,15,0,7,78,6,2,2,0,2,72,17,33,0,22,0,0,0,0,7,95,44,53,19,0,833,0,0,0
01,111,22604,6,One cnty,99.1871,932,137,45,92,2,9,4,30,14,71,7,0,121,10,44,13,21,12,3,0,4,52,9,3,4,0,2,43,6,8,0,29,0,0,0,0,3,55,10,39,8,0,400,0,0,0
01,113,65910,3,Multiple counties,99.073,1956,359,107,252,5,20,20,62,38,199,14,0,255,28,19,0,46,20,31,0,18,193,20,7,9,0,4,173,19,106,0,48,0,0,0,0,91,170,2,77,56,0,589,0,0,0
01,115,85055,11,Multiple counties,98.1729,4853,529,176,353,8,14,22,132,77,262,12,2,458,28,101,3,39,38,25,0,31,182,37,2,11,1,23,145,53,28,12,51,0,0,0,0,33,349,24,137,19,0,2856,0,0,0
01,117,186600,9,Multiple counties,99.3957,3956,493,187,305,4,11,6,166,50,238,16,1,323,24,46,1,32,16,26,0,19,313,135,3,5,3,124,178,43,74,22,39,0,0,0,0,2,451,90,187,22,0,1909,0,0,0
01,119,12948,5,One cnty,73.6697,168,42,25,17,5,0,0,20,6,10,0,0,25,0,3,0,1,3,0,0,4,7,1,0,1,0,0,6,1,0,0,4,0,0,0,0,1,8,0,5,3,0,66,0,0,0
01,121,76263,6,One cnty,98.7678,3397,480,97,383,7,0,17,73,81,279,22,1,676,18,114,0,12,33,41,0,17,97,10,6,0,1,3,87,26,21,12,28,0,0,0,0,21,164,10,217,49,0,1448,0,0,0
01,123,38953,6,One cnty,97.3079,2627,419,153,265,5,18,16,114,59,184,20,2,369,20,71,2,23,15,32,0,25,298,74,29,8,14,23,223,60,61,46,57,0,0,0,0,1,132,55,92,55,0,1017,0,0,0
01,125,204519,8,Multiple counties,87.5996,6798,1170,267,903,15,19,63,170,180,685,35,3,1229,79,214,2,93,138,52,0,34,722,60,12,11,1,35,662,49,498,20,96,0,0,0,0,27,489,134,502,109,0,1804,0,0,0
01,127,64818,9,Multiple counties,98.9481,2623,464,92,372,11,4,14,63,48,312,9,3,187,25,33,4,46,23,12,0,8,177,74,23,9,4,38,103,28,7,8,60,0,0,0,0,2,69,13,235,37,0,1288,0,0,0
01,129,16608,4,One cnty,97.4269,694,70,35,35,1,1,1,32,10,20,5,0,86,1,20,0,10,5,5,0,2,87,6,0,0,0,6,81,10,14,4,53,0,0,0,0,0,45,9,8,5,0,341,0,0,0
01,131,10936,3,One cnty,61.4606,320,71,40,31,0,4,4,32,9,18,4,0,50,0,5,0,2,9,5,0,0,10,1,0,0,0,1,9,1,3,2,3,0,0,0,0,0,28,1,12,13,0,114,0,0,0
01,133,23764,6,Multiple counties,97.9945,577,80,22,59,0,3,1,18,11,45,3,0,63,5,16,0,9,4,2,0,0,40,17,0,0,0,17,22,2,5,0,15,0,0,0,0,14,48,12,48,4,0,232,0,0,0
01,777,0,1,One cnty,100.0,234,54,8,46,0,0,1,7,0,44,2,0,4,2,1,0,1,0,3,0,2,62,16,0,7,8,1,46,1,17,28,0,0,0,0,0,3,3,3,11,29,0,55,0,0,1
02,013,1080,1,One cnty,0.0,63,12,4,8,0,0,0,3,1,6,1,0,10,0,1,0,0,2,1,0,0,3,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,8,4,1,3,0,21,0,0,0
02,016,5029,2,One cnty,89.819,149,33,17,17,0,0,0,16,2,9,6,0,23,2,2,0,0,1,3,1,2,11,6,0,0,6,0,5,1,3,0,0,0,0,0,0,0,25,6,0,5,0,34,0,0,0
02,020,299097,3,One cnty,100.0,13592,3043,1195,1848,17,51,207,920,192,1347,287,22,1637,53,136,59,74,626,129,6,186,424,46,28,4,6,8,378,85,124,13,156,0,0,0,0,145,1037,71,0,230,1,5735,0,0,0
